
108,118,134,194,199
106,123,132,139,191
113,128,176,186,196
312,135,168,198,502
126,157,162,187,507
129,174,182,189,510
105,118,123,125,502
105,126,154,176,502
118,132,154,171,510
125,132,153,193,194
126,132,141,171,510
113,123,156,167,510
132,135,156,186,507
111,118,126,184,198
113,128,140,176,502
125,144,174,189,510
121,152,162,171,194
111,140,154,171,507
106,120,186,502,510
111,118,123,186,509
123,152,168,502,510
132,152,186,507,509
120,154,162,182,183
125,126,148,183,510
139,144,179,191,502
129,131,149,171,504
118,120,125,154,199
135,140,157,187,195
106,123,132,189,194
105,126,134,162,196
144,154,156,186,199
118,120,132,141,198
126,136,167,168,510
134,174,176,184,194
113,123,162,189,507
105,134,176,199,509
106,131,135,140,168
126,149,154,182,502
118,120,125,132,510
123,152,162,171,194
137,139,153,168,502
125,132,149,154,171
118,120,144,174,176
113,134,136,162,194
126,141,187,196,510
134,140,162,171,190
118,154,189,199,509
118,125,135,154,162
134,171,182,194,199
154,162,182,184,194
113,125,134,162,178
118,134,144,162,168
118,134,154,171,199
126,154,162,189,510
123,134,137,162,189
132,139,140,171,176
139,154,156,162,501
106,120,132,140,509
125,134,162,187,194
126,129,176,186,502
125,134,139,173,187
125,139,154,194,196
125,126,134,189,199
106,154,184,199,509
113,132,140,141,510
123,126,176,502,510
129,132,156,168,194
126,132,154,176,184
129,144,148,171,502
134,139,182,186,196
126,132,140,182,189
125,126,140,184,199
125,126,132,134,189
134,162,194,196,509
105,132,140,176,194
134,176,180,186,199
154,173,176,180,186
117,125,154,156,199
136,140,154,187,199
120,132,154,194,196
135,140,156,162,168
120,129,162,182,186
126,154,156,168,199
