ban,camp,game_time,is_win,kill,op_ban,op_camp,op_kill,op_pick,op_team_id,op_team_name,pick,season_id,season_name
120|148|154|187,1,2018-10-27 21:27:08,1,20,118|184|502|509,op_2,op_12,125|126|132|134|189,45,Hero久竞,135|140|141|168|199,20,2018KPL职业联赛秋季赛
141|176|182|502,2,2018-10-27 20:54:06,1,13,118|154|187|189,op_1,op_4,134|162|194|196|509,45,Hero久竞,120|125|132|140|184,20,2018KPL职业联赛秋季赛
136|182|186|191,1,2018-10-21 17:31:39,1,12,118|129|141|502,op_2,op_4,105|132|140|176|194,31,YTG,125|135|154|189|199,20,2018KPL职业联赛秋季赛
129|140|191|502,2,2018-10-21 17:02:58,1,13,118|125|184|189,op_1,op_5,134|176|180|186|199,31,YTG,120|132|141|154|168,20,2018KPL职业联赛秋季赛
140|191|196|199,1,2018-10-21 16:33:11,0,14,120|129|134|502,op_2,op_15,154|173|176|180|186,31,YTG,125|132|139|168|509,20,2018KPL职业联赛秋季赛
140|191|502|509,2,2018-10-21 16:01:40,1,21,118|171|186|189,op_1,op_6,117|125|154|156|199,31,YTG,120|132|141|149|184,20,2018KPL职业联赛秋季赛
171|176|182|191,1,2018-10-21 15:26:06,0,12,120|125|186|502,op_2,op_23,136|140|154|187|199,31,YTG,132|134|135|156|189,20,2018KPL职业联赛秋季赛
141|168|171|502,2,2018-10-20 22:44:16,1,9,140|156|189|509,op_1,op_4,120|132|154|194|196,25,QGhappy,125|129|135|186|199,20,2018KPL职业联赛秋季赛
125|126|132|509,1,2018-10-20 22:07:47,1,15,120|136|189|502,op_2,op_10,135|140|156|162|168,25,QGhappy,149|154|176|186|199,20,2018KPL职业联赛秋季赛
132|136|144|502,2,2018-10-20 21:38:57,1,10,140|156|168|189,op_1,op_2,120|129|162|182|186,25,QGhappy,125|154|194|199|509,20,2018KPL职业联赛秋季赛
120|125|132|135,1,2018-10-20 21:02:08,0,1,136|140|189|502,op_2,op_10,126|154|156|168|199,25,QGhappy,134|148|162|178|186,20,2018KPL职业联赛秋季赛
